stockid,fao_area
SOUTHHAKEWCSI,81
TARAKNZ,81
TREVALLYTRE7,81
PANCHPERUNC,87
CSALMAMURCH,4
CSALMAMURCW,4
CSALMANADYRCW,4
CSALMEKAMCH,4
CSALMEKAMCW,4
CSALMESAKCH,4
CSALMOKCH,4
CSALMOKCW,4
CSALMPRIMCH,4
CSALMPRIMCW,4
CSALMWKAMCH,4
CSALMWKAMCW,4
PSALMAMURPW,4
PSALMANADYRPW,4
PSALMEKAMPW,4
PSALMESAKPH,4
PSALMESAKPW,4
PSALMOKPH,4
PSALMOKPW,4
PSALMPRIMPW,4
PSALMWKAMPH,4
PSALMWKAMPW,4
SSALMANADYRSW,4
SSALMEKAMSW,4
SSALMOKSH,4
SSALMOKSW,4
SSALMWKAMSH,4
SSALMWKAMSW,4
WPOLLNAVAR,61
WPOLLNSO,61
WPOLLWBS,61
ANCHOSA,47;51
CHAKESA,47;51
CHSQUIDSA,47;51
CRLOBSTERSA12,47
CRLOBSTERSA34,47
CRLOBSTERSA56,47
CRLOBSTERSA7,47
CRLOBSTERSA8,47
CTRACSA,47
DEEPCHAKESA,47;51
KINGKLIPSA,47;51
PTOOTHFISHPEI,51;58
SAABALONESA,47;51
SARDSA,47;51
SSLOBSTERSASC,47
ACADREDGOMGB,21
ALPLAICBSAI,61;67
ALSKABSAI,61;67
AMPL5YZ,21
ARFLOUNDBSAI,61;67
ARFLOUNDGA,67
ARFLOUNDPCOAST,67;77
ATHAL5YZ,21
ATKABSAI,61;67
ATKAGA,67
ATLCROAKMATLC,21;31
AUROCKPCOAST,67;77
AWOLF5YZ,21
BCRABCHESB,21
BGROCKPCOAST,67;77
BHEADSHARATL,31
BKINGCRABPI,67
BKINGCRABSMI,67
BLACKGROUPERGMSATL,31
BLACKROCKCAL,67;77
BLACKROCKNPCOAST,67
BLACKROCKORECOAST,67
BLACKROCKSPCOAST,77
BLACKROCKWASH,67
BLTILESATLC,31
BLUEFISHATLC,21;31
BLUEROCKCAL,67;77
BNKROCKCAL,67;77
BNOSESHARATL,31
BOCACCSPCOAST,77
BRNROCKPCOAST,67;77
BRNSHRIMPGM,31
BSBASSMATLC,21;31
BSBASSSATL,31
BSKAT5YZSNE,21
BTIPSHARATL,31
BTIPSHARGM,31
BUTTERGOMCHATT,21
CABEZNCAL,67;77
CABEZORECOAST,67
CABEZSCAL,77
CALSCORPSCAL,77
CHILISPCOAST,77
CHROCKCPCOAST,77
CHROCKNPCOAST,67
CHROCKSPCOAST,77
CMACKPCOAST,67;77
COBGM,31
COBSATLC,31
CODGB,21
CODGOM,21
COWCODSCAL,77
CPRROCKPCOAST,67;77
CROCKPCOAST,67;77
CSALMAKPSESCD,2
CSALMAKPSWUD,2
CSALMANDREAR,2
CSALMANVIKR,2
CSALMBEARR,2
CSALMBECHSNWD,2
CSALMBLKAMR,2
CSALMBRUINR,2
CSALMCARIBOUF,2
CSALMCHIDWD,2
CSALMCHIGCD,2
CSALMCHIGED,2
CSALMCINDERR,2
CSALMCOLR,2
CSALMCWCIR,2
CSALMDFL,2
CSALMEALSEKR,2
CSALMFISHC,2
CSALMGOLOVIN,2
CSALMGOODNEWSR,2
CSALMGRAYH,2
CSALMHOODC,2
CSALMIZEMBEKMNWD,2
CSALMJDFS,2
CSALMKADASHANC,2
CSALMKANEKTOKR,2
CSALMKOTZEBUES,2
CSALMKTRNS,2
CSALMKUSKOKWIM,2
CSALMMNRSD,2
CSALMNELSONL,2
CSALMNORTONB,2
CSALMNORTONSD1,2
CSALMNSR,2
CSALMNUSHAGAKD,2
CSALMPDIC,2
CSALMPERRYVILLED,2
CSALMPGRAHAM,2
CSALMPHEIDEN,2
CSALMPMOLLERBT,2
CSALMROCKYR,2
CSALMSHAKTOOLIK,2
CSALMSKAGR,2
CSALMSSOUNDFR,2
CSALMSSOUNDSR,2
CSALMSSOUNDWR,2
CSALMSSR,2
CSALMTHREEH,2
CSALMTOGD,2
CSALMUCOOKI,2
CSALMUNALAKLEET,2
CSALMURSUSCL,2
CSALMWILLB,2
CSALMYUKONRFR,2
CSALMYUKONRSR,2
CSKATMATLC,21;31
DKROCKPCOAST,67;77
DSKSHARGMATL,31
DSOLEGA,67
DSOLEPCOAST,67;77
DUSROCKGA,67
ESOLEPCOAST,67;77
FLSOLEBSAI,61;67
FLSOLEGA,67
FTOOTHSHARATL,31
GAGGM,31
GAGSATLC,31
GHALBSAI,61;67
GLGROUPSATLCGM,31
GOPHERSPCOAST,77
